species	biosystem_ncbi_gene_id	gene_symbol	gene_description	type_of_gene
Mus musculus	18392	Orc1	origin recognition complex, subunit 1	protein-coding
Mus musculus	18393	Orc2	origin recognition complex, subunit 2	protein-coding
Mus musculus	18412	Sqstm1	sequestosome 1	protein-coding
Mus musculus	18413	Osm	oncostatin M	protein-coding
Mus musculus	18414	Osmr	oncostatin M receptor	protein-coding
Mus musculus	18415	Hspa4l	heat shock protein 4 like	protein-coding
Mus musculus	18416	Otc	ornithine transcarbamylase	protein-coding
Mus musculus	18417	Cldn11	claudin 11	protein-coding
Mus musculus	18423	Otx1	orthodenticle homolog 1	protein-coding
Mus musculus	18429	Oxt	oxytocin	protein-coding
Mus musculus	18430	Oxtr	oxytocin receptor	protein-coding
Mus musculus	18436	P2rx1	purinergic receptor P2X, ligand-gated ion channel, 1	protein-coding
Mus musculus	18438	P2rx4	purinergic receptor P2X, ligand-gated ion channel 4	protein-coding
Mus musculus	18439	P2rx7	purinergic receptor P2X, ligand-gated ion channel, 7	protein-coding
Mus musculus	18440	P2rx6	purinergic receptor P2X, ligand-gated ion channel, 6	protein-coding
Mus musculus	18441	P2ry1	purinergic receptor P2Y, G-protein coupled 1	protein-coding
Mus musculus	18442	P2ry2	purinergic receptor P2Y, G-protein coupled 2	protein-coding
Mus musculus	18451	P4ha1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide	protein-coding
Mus musculus	18452	P4ha2	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide	protein-coding
Mus musculus	18453	P4hb	prolyl 4-hydroxylase, beta polypeptide	protein-coding
Mus musculus	18458	Pabpc1	poly(A) binding protein, cytoplasmic 1	protein-coding
Mus musculus	18459	Pabpc2	poly(A) binding protein, cytoplasmic 2	protein-coding
Mus musculus	18472	Pafah1b1	platelet-activating factor acetylhydrolase, isoform 1b, subunit 1	protein-coding
Mus musculus	18475	Pafah1b2	platelet-activating factor acetylhydrolase, isoform 1b, subunit 2	protein-coding
Mus musculus	18476	Pafah1b3	platelet-activating factor acetylhydrolase, isoform 1b, subunit 3	protein-coding
Mus musculus	18478	Pah	phenylalanine hydroxylase	protein-coding
Mus musculus	18479	Pak1	p21 protein (Cdc42/Rac)-activated kinase 1	protein-coding
Mus musculus	18481	Pak3	p21 protein (Cdc42/Rac)-activated kinase 3	protein-coding
Mus musculus	18505	Pax3	paired box 3	protein-coding
Mus musculus	18506	Pax4	paired box 4	protein-coding
Mus musculus	18507	Pax5	paired box 5	protein-coding
Mus musculus	18508	Pax6	paired box 6	protein-coding
Mus musculus	18509	Pax7	paired box 7	protein-coding
Mus musculus	18510	Pax8	paired box 8	protein-coding
Mus musculus	18514	Pbx1	pre B cell leukemia homeobox 1	protein-coding
Mus musculus	18516	Pbx3	pre B cell leukemia homeobox 3	protein-coding
Mus musculus	18550	Furin	furin (paired basic amino acid cleaving enzyme)	protein-coding
Mus musculus	18563	Pcx	pyruvate carboxylase	protein-coding
Mus musculus	18569	Pdcd4	programmed cell death 4	protein-coding
Mus musculus	18571	Pdcd6ip	programmed cell death 6 interacting protein	protein-coding
Mus musculus	18573	Pde1a	phosphodiesterase 1A, calmodulin-dependent	protein-coding
Mus musculus	18574	Pde1b	phosphodiesterase 1B, Ca2+-calmodulin dependent	protein-coding
Mus musculus	18575	Pde1c	phosphodiesterase 1C	protein-coding
Mus musculus	18576	Pde3b	phosphodiesterase 3B, cGMP-inhibited	protein-coding
Mus musculus	18577	Pde4a	phosphodiesterase 4A, cAMP specific	protein-coding
Mus musculus	18578	Pde4b	phosphodiesterase 4B, cAMP specific	protein-coding
Mus musculus	18582	Pde6d	phosphodiesterase 6D, cGMP-specific, rod, delta	protein-coding
Mus musculus	18583	Pde7a	phosphodiesterase 7A	protein-coding
Mus musculus	18584	Pde8a	phosphodiesterase 8A	protein-coding
Mus musculus	18585	Pde9a	phosphodiesterase 9A	protein-coding
Mus musculus	18587	Pde6b	phosphodiesterase 6B, cGMP, rod receptor, beta polypeptide	protein-coding
Mus musculus	18588	Pde6g	phosphodiesterase 6G, cGMP-specific, rod, gamma	protein-coding
Mus musculus	18590	Pdgfa	platelet derived growth factor, alpha	protein-coding
Mus musculus	18597	Pdha1	pyruvate dehydrogenase E1 alpha 1	protein-coding
Mus musculus	18598	Pdha2	pyruvate dehydrogenase E1 alpha 2	protein-coding
Mus musculus	18605	Enpp1	ectonucleotide pyrophosphatase/phosphodiesterase 1	protein-coding
Mus musculus	18609	Pdx1	pancreatic and duodenal homeobox 1	protein-coding
Mus musculus	18610	Pdyn	prodynorphin	protein-coding
Mus musculus	18612	Etv4	ets variant 4	protein-coding
Mus musculus	18626	Per1	period circadian clock 1	protein-coding
Mus musculus	18627	Per2	period circadian clock 2	protein-coding
Mus musculus	18628	Per3	period circadian clock 3	protein-coding
Mus musculus	18631	Pex11a	peroxisomal biogenesis factor 11 alpha	protein-coding
Mus musculus	18632	Pex11b	peroxisomal biogenesis factor 11 beta	protein-coding
Mus musculus	18634	Pex7	peroxisomal biogenesis factor 7	protein-coding
Mus musculus	18636	Cfp	complement factor properdin	protein-coding
Mus musculus	18639	Pfkfb1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	protein-coding
Mus musculus	18640	Pfkfb2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	protein-coding
Mus musculus	18641	Pfkl	phosphofructokinase, liver, B-type	protein-coding
Mus musculus	18642	Pfkm	phosphofructokinase, muscle	protein-coding
Mus musculus	18643	Pfn1	profilin 1	protein-coding
Mus musculus	18645	Pfn2	profilin 2	protein-coding
Mus musculus	18646	Prf1	perforin 1 (pore forming protein)	protein-coding
Mus musculus	18647	Cdk14	cyclin-dependent kinase 14	protein-coding
Mus musculus	18648	Pgam1	phosphoglycerate mutase 1	protein-coding
Mus musculus	18654	Pgf	placental growth factor	protein-coding
Mus musculus	18655	Pgk1	phosphoglycerate kinase 1	protein-coding
Mus musculus	18663	Pgk2	phosphoglycerate kinase 2	protein-coding
Mus musculus	18667	Pgr	progesterone receptor	protein-coding
Mus musculus	18669	Abcb1b	ATP-binding cassette, sub-family B (MDR/TAP), member 1B	protein-coding
Mus musculus	18670	Abcb4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	protein-coding
Mus musculus	18671	Abcb1a	ATP-binding cassette, sub-family B (MDR/TAP), member 1A	protein-coding
Mus musculus	18679	Phka1	phosphorylase kinase alpha 1	protein-coding
Mus musculus	18682	Phkg1	phosphorylase kinase gamma 1	protein-coding
Mus musculus	18700	Piga	phosphatidylinositol glycan anchor biosynthesis, class A	protein-coding
Mus musculus	18701	Pigf	phosphatidylinositol glycan anchor biosynthesis, class F	protein-coding
Mus musculus	18704	Pik3c2a	phosphatidylinositol 3-kinase, C2 domain containing, alpha polypeptide	protein-coding
Mus musculus	18705	Pik3c2g	phosphatidylinositol 3-kinase, C2 domain containing, gamma polypeptide	protein-coding
Mus musculus	18707	Pik3cd	phosphatidylinositol 3-kinase catalytic delta polypeptide	protein-coding
Mus musculus	18709	Pik3r2	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 2 (p85 beta)	protein-coding
Mus musculus	18710	Pik3r3	phosphatidylinositol 3 kinase, regulatory subunit, polypeptide 3 (p55)	protein-coding
Mus musculus	18711	Pikfyve	phosphoinositide kinase, FYVE finger containing	protein-coding
Mus musculus	18712	Pim1	proviral integration site 1	protein-coding
Mus musculus	18715	Pim2	proviral integration site 2	protein-coding
Mus musculus	18717	Pip5k1c	phosphatidylinositol-4-phosphate 5-kinase, type 1 gamma	protein-coding
Mus musculus	18718	Pip4k2a	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha	protein-coding
Mus musculus	18719	Pip5k1b	phosphatidylinositol-4-phosphate 5-kinase, type 1 beta	protein-coding
Mus musculus	18720	Pip5k1a	phosphatidylinositol-4-phosphate 5-kinase, type 1 alpha	protein-coding
Mus musculus	18722	Pira1	paired-Ig-like receptor A1	protein-coding
Mus musculus	18726	Lilra6	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6	protein-coding
Mus musculus	18727	Pira4	paired-Ig-like receptor A4	protein-coding
Mus musculus	18729	Pira6	paired-Ig-like receptor A6	protein-coding
Mus musculus	18733	Pirb	paired Ig-like receptor B	protein-coding
Mus musculus	18741	Pitx2	paired-like homeodomain transcription factor 2	protein-coding
Mus musculus	18746	Pkm	pyruvate kinase, muscle	protein-coding
Mus musculus	18751	Prkcb	protein kinase C, beta	protein-coding
Mus musculus	18752	Prkcg	protein kinase C, gamma	protein-coding
Mus musculus	18754	Prkce	protein kinase C, epsilon	protein-coding
Mus musculus	18755	Prkch	protein kinase C, eta	protein-coding
Mus musculus	18759	Prkci	protein kinase C, iota	protein-coding
Mus musculus	18760	Prkd1	protein kinase D1	protein-coding
Mus musculus	18761	Prkcq	protein kinase C, theta	protein-coding
Mus musculus	18762	Prkcz	protein kinase C, zeta	protein-coding
Mus musculus	18767	Pkia	protein kinase inhibitor, alpha	protein-coding
Mus musculus	18770	Pklr	pyruvate kinase liver and red blood cell	protein-coding
Mus musculus	18777	Lypla1	lysophospholipase 1	protein-coding
Mus musculus	18778	Pla2g1b	phospholipase A2, group IB, pancreas	protein-coding
Mus musculus	18779	Pla2r1	phospholipase A2 receptor 1	protein-coding
Mus musculus	18780	Pla2g2a	phospholipase A2, group IIA (platelets, synovial fluid)	protein-coding
Mus musculus	18781	Pla2g2c	phospholipase A2, group IIC	protein-coding
Mus musculus	18782	Pla2g2d	phospholipase A2, group IID	protein-coding
Mus musculus	18783	Pla2g4a	phospholipase A2, group IVA (cytosolic, calcium-dependent)	protein-coding
Mus musculus	18784	Pla2g5	phospholipase A2, group V	protein-coding
Mus musculus	18786	Plaa	phospholipase A2, activating protein	protein-coding
Mus musculus	18787	Serpine1	serine (or cysteine) peptidase inhibitor, clade E, member 1	protein-coding
Mus musculus	18788	Serpinb2	serine (or cysteine) peptidase inhibitor, clade B, member 2	protein-coding
Mus musculus	18791	Plat	plasminogen activator, tissue	protein-coding
Mus musculus	18793	Plaur	plasminogen activator, urokinase receptor	protein-coding
Mus musculus	18795	Plcb1	phospholipase C, beta 1	protein-coding
Mus musculus	18796	Plcb2	phospholipase C, beta 2	protein-coding
Mus musculus	18797	Plcb3	phospholipase C, beta 3	protein-coding
Mus musculus	18799	Plcd1	phospholipase C, delta 1	protein-coding
Mus musculus	18802	Plcd4	phospholipase C, delta 4	protein-coding
Mus musculus	18803	Plcg1	phospholipase C, gamma 1	protein-coding
Mus musculus	18805	Pld1	phospholipase D1	protein-coding
Mus musculus	18806	Pld2	phospholipase D2	protein-coding
Mus musculus	18807	Pld3	phospholipase D family, member 3	protein-coding
Mus musculus	18815	Plg	plasminogen	protein-coding
Mus musculus	18816	Serpinf2	serine (or cysteine) peptidase inhibitor, clade F, member 2	protein-coding
Mus musculus	18817	Plk1	polo-like kinase 1	protein-coding
Mus musculus	18821	Pln	phospholamban	protein-coding
Mus musculus	18829	Ccl21a	chemokine (C-C motif) ligand 21A (serine)	protein-coding
Mus musculus	18830	Pltp	phospholipid transfer protein	protein-coding
Mus musculus	18946	Pnliprp1	pancreatic lipase related protein 1	protein-coding
Mus musculus	18947	Pnliprp2	pancreatic lipase-related protein 2	protein-coding
Mus musculus	18948	Pnmt	phenylethanolamine-N-methyltransferase	protein-coding
Mus musculus	18949	Pnn	pinin	protein-coding
Mus musculus	18950	Pnp	purine-nucleoside phosphorylase	protein-coding
Mus musculus	18951	Sept5	septin 5	protein-coding
Mus musculus	18969	Pola2	polymerase (DNA directed), alpha 2	protein-coding
Mus musculus	18972	Pold2	polymerase (DNA directed), delta 2, regulatory subunit	protein-coding
Mus musculus	18973	Pole	polymerase (DNA directed), epsilon	protein-coding
Mus musculus	18974	Pole2	polymerase (DNA directed), epsilon 2 (p59 subunit)	protein-coding
Mus musculus	18976	Pomc	pro-opiomelanocortin-alpha	protein-coding
Mus musculus	18988	Pou2f3	POU domain, class 2, transcription factor 3	protein-coding
Mus musculus	18999	Pou5f1	POU domain, class 5, transcription factor 1	protein-coding
Mus musculus	19012	Plpp1	phospholipid phosphatase 1	protein-coding
Mus musculus	19015	Ppard	peroxisome proliferator activator receptor delta	protein-coding
Mus musculus	19025	Ctsa	cathepsin A	protein-coding
Mus musculus	19042	Ppm1a	protein phosphatase 1A, magnesium dependent, alpha isoform	protein-coding
Mus musculus	19043	Ppm1b	protein phosphatase 1B, magnesium dependent, beta isoform	protein-coding
Mus musculus	19044	Ppox	protoporphyrinogen oxidase	protein-coding
Mus musculus	19046	Ppp1cb	protein phosphatase 1, catalytic subunit, beta isoform	protein-coding
Mus musculus	19047	Ppp1cc	protein phosphatase 1, catalytic subunit, gamma isoform	protein-coding
Mus musculus	19049	Ppp1r1b	protein phosphatase 1, regulatory (inhibitor) subunit 1B	protein-coding
Mus musculus	19051	Ppp1r17	protein phosphatase 1, regulatory subunit 17	protein-coding
Mus musculus	19052	Ppp2ca	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform	protein-coding
Mus musculus	19053	Ppp2cb	protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform	protein-coding
Mus musculus	19054	Ppp2r3d	protein phosphatase 2 (formerly 2A), regulatory subunit B'', delta	protein-coding
Mus musculus	19056	Ppp3cb	protein phosphatase 3, catalytic subunit, beta isoform	protein-coding
Mus musculus	19057	Ppp3cc	protein phosphatase 3, catalytic subunit, gamma isoform	protein-coding
Mus musculus	19059	Ppp3r2	protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type II)	protein-coding
Mus musculus	19060	Ppp5c	protein phosphatase 5, catalytic subunit	protein-coding
Mus musculus	19062	Inpp5k	inositol polyphosphate 5-phosphatase K	protein-coding
Mus musculus	19063	Ppt1	palmitoyl-protein thioesterase 1	protein-coding
Mus musculus	19065	Npy4r	neuropeptide Y receptor Y4	protein-coding
Mus musculus	19069	Nup88	nucleoporin 88	protein-coding
Mus musculus	19072	Prep	prolyl endopeptidase	protein-coding
Mus musculus	19075	Prim1	DNA primase, p49 subunit	protein-coding
Mus musculus	19076	Prim2	DNA primase, p58 subunit	protein-coding
Mus musculus	19079	Prkab1	protein kinase, AMP-activated, beta 1 non-catalytic subunit	protein-coding
Mus musculus	19082	Prkag1	protein kinase, AMP-activated, gamma 1 non-catalytic subunit	protein-coding
Mus musculus	19084	Prkar1a	protein kinase, cAMP dependent regulatory, type I, alpha	protein-coding
Mus musculus	19085	Prkar1b	protein kinase, cAMP dependent regulatory, type I beta	protein-coding
Mus musculus	19087	Prkar2a	protein kinase, cAMP dependent regulatory, type II alpha	protein-coding
Mus musculus	19089	Prkcsh	protein kinase C substrate 80K-H	protein-coding
Mus musculus	19092	Prkg2	protein kinase, cGMP-dependent, type II	protein-coding
Mus musculus	19094	Mapk11	mitogen-activated protein kinase 11	protein-coding
Mus musculus	19099	Mapk8ip1	mitogen-activated protein kinase 8 interacting protein 1	protein-coding
Mus musculus	19106	Eif2ak2	eukaryotic translation initiation factor 2-alpha kinase 2	protein-coding
Mus musculus	19109	Prl	prolactin	protein-coding
Mus musculus	19116	Prlr	prolactin receptor	protein-coding
Mus musculus	19122	Prnp	prion protein	protein-coding
Mus musculus	19123	Proc	protein C	protein-coding
Mus musculus	19125	Prodh	proline dehydrogenase	protein-coding
Mus musculus	19126	Prom1	prominin 1	protein-coding
Mus musculus	19128	Pros1	protein S (alpha)	protein-coding
Mus musculus	19132	Prph	peripherin	protein-coding
Mus musculus	19143	St14	suppression of tumorigenicity 14 (colon carcinoma)	protein-coding
Mus musculus	19157	Cyth1	cytohesin 1	protein-coding
Mus musculus	19158	Cyth2	cytohesin 2	protein-coding
Mus musculus	19159	Cyth3	cytohesin 3	protein-coding
Mus musculus	19165	Psen2	presenilin 2	protein-coding
Mus musculus	19179	Psmc1	protease (prosome, macropain) 26S subunit, ATPase 1	protein-coding
Mus musculus	19181	Psmc2	proteasome (prosome, macropain) 26S subunit, ATPase 2	protein-coding
Mus musculus	19182	Psmc3	proteasome (prosome, macropain) 26S subunit, ATPase 3	protein-coding
Mus musculus	19184	Psmc5	protease (prosome, macropain) 26S subunit, ATPase 5	protein-coding
Mus musculus	19185	Psmd4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	protein-coding
Mus musculus	19192	Psme3	proteaseome (prosome, macropain) activator subunit 3 (PA28 gamma, Ki)	protein-coding
Mus musculus	19193	Pipox	pipecolic acid oxidase	protein-coding
Mus musculus	19204	Ptafr	platelet-activating factor receptor	protein-coding
Mus musculus	19206	Ptch1	patched homolog 1	protein-coding
Mus musculus	19207	Ptch2	patched homolog 2	protein-coding
Mus musculus	19208	Ptcra	pre T cell antigen receptor alpha	protein-coding
Mus musculus	19210	Ptdss1	phosphatidylserine synthase 1	protein-coding
Mus musculus	19214	Ptgdr	prostaglandin D receptor	protein-coding
Mus musculus	19215	Ptgds	prostaglandin D2 synthase (brain)	protein-coding
Mus musculus	19216	Ptger1	prostaglandin E receptor 1 (subtype EP1)	protein-coding
Mus musculus	19217	Ptger2	prostaglandin E receptor 2 (subtype EP2)	protein-coding
Mus musculus	19218	Ptger3	prostaglandin E receptor 3 (subtype EP3)	protein-coding
Mus musculus	19219	Ptger4	prostaglandin E receptor 4 (subtype EP4)	protein-coding
Mus musculus	19220	Ptgfr	prostaglandin F receptor	protein-coding
Mus musculus	19222	Ptgir	prostaglandin I receptor (IP)	protein-coding
Mus musculus	19223	Ptgis	prostaglandin I2 (prostacyclin) synthase	protein-coding
Mus musculus	19224	Ptgs1	prostaglandin-endoperoxide synthase 1	protein-coding
Mus musculus	19228	Pth1r	parathyroid hormone 1 receptor	protein-coding
Mus musculus	19231	Ptma	prothymosin alpha	protein-coding
Mus musculus	19241	Tmsb4x	thymosin, beta 4, X chromosome	protein-coding
Mus musculus	19252	Dusp1	dual specificity phosphatase 1	protein-coding
Mus musculus	19255	Ptpn2	protein tyrosine phosphatase, non-receptor type 2	protein-coding
Mus musculus	19259	Ptpn5	protein tyrosine phosphatase, non-receptor type 5	protein-coding
Mus musculus	19261	Sirpa	signal-regulatory protein alpha	protein-coding
Mus musculus	19263	Ptprb	protein tyrosine phosphatase, receptor type, B	protein-coding
Mus musculus	19264	Ptprc	protein tyrosine phosphatase, receptor type, C	protein-coding
Mus musculus	19268	Ptprf	protein tyrosine phosphatase, receptor type, F	protein-coding
Mus musculus	19271	Ptprj	protein tyrosine phosphatase, receptor type, J	protein-coding
Mus musculus	19274	Ptprm	protein tyrosine phosphatase, receptor type, M	protein-coding
Mus musculus	19275	Ptprn	protein tyrosine phosphatase, receptor type, N	protein-coding
Mus musculus	19276	Ptprn2	protein tyrosine phosphatase, receptor type, N polypeptide 2	protein-coding
Mus musculus	19279	Ptprr	protein tyrosine phosphatase, receptor type, R	protein-coding
Mus musculus	19286	Pts	6-pyruvoyl-tetrahydropterin synthase	protein-coding
Mus musculus	19294	Pvrl2	poliovirus receptor-related 2	protein-coding
Mus musculus	19298	Pex19	peroxisomal biogenesis factor 19	protein-coding
Mus musculus	19299	Abcd3	ATP-binding cassette, sub-family D (ALD), member 3	protein-coding
Mus musculus	19300	Abcd4	ATP-binding cassette, sub-family D (ALD), member 4	protein-coding
Mus musculus	19301	Pxmp2	peroxisomal membrane protein 2	protein-coding
Mus musculus	19302	Pex2	peroxisomal biogenesis factor 2	protein-coding
Mus musculus	19303	Pxn	paxillin	protein-coding
Mus musculus	19309	Pygm	muscle glycogen phosphorylase	protein-coding
Mus musculus	19326	Rab11b	RAB11B, member RAS oncogene family	protein-coding
Mus musculus	19334	Rab22a	RAB22A, member RAS oncogene family	protein-coding
Mus musculus	19339	Rab3a	RAB3A, member RAS oncogene family	protein-coding
Mus musculus	19340	Rab3d	RAB3D, member RAS oncogene family	protein-coding
Mus musculus	19341	Rab4a	RAB4A, member RAS oncogene family	protein-coding
Mus musculus	19344	Rab5b	RAB5B, member RAS oncogene family	protein-coding
Mus musculus	19345	Rab5c	RAB5C, member RAS oncogene family	protein-coding
Mus musculus	19353	Rac1	RAS-related C3 botulinum substrate 1	protein-coding
Mus musculus	19354	Rac2	RAS-related C3 botulinum substrate 2	protein-coding
Mus musculus	19357	Rad21	RAD21 homolog (S. pombe)	protein-coding
Mus musculus	19358	Rad23a	RAD23a homolog (S. cerevisiae)	protein-coding
Mus musculus	19359	Rad23b	RAD23b homolog (S. cerevisiae)	protein-coding
Mus musculus	19363	Rad51b	RAD51 homolog B	protein-coding
Mus musculus	19364	Rad51d	RAD51 homolog D	protein-coding
Mus musculus	19366	Rad54l	RAD54 like (S. cerevisiae)	protein-coding
Mus musculus	19368	Raet1a	retinoic acid early transcript 1, alpha	protein-coding
Mus musculus	19369	Raet1b	retinoic acid early transcript beta	protein-coding
Mus musculus	19370	Raet1c	retinoic acid early transcript gamma	protein-coding
Mus musculus	19373	Rag1	recombination activating gene 1	protein-coding
Mus musculus	19374	Rag2	recombination activating gene 2	protein-coding
Mus musculus	19378	Aldh1a2	aldehyde dehydrogenase family 1, subfamily A2	protein-coding
Mus musculus	19384	Ran	RAN, member RAS oncogene family	protein-coding
Mus musculus	19385	Ranbp1	RAN binding protein 1	protein-coding
Mus musculus	19386	Ranbp2	RAN binding protein 2	protein-coding
Mus musculus	19387	Rangap1	RAN GTPase activating protein 1	protein-coding
Mus musculus	19395	Rasgrp2	RAS, guanyl releasing protein 2	protein-coding
Mus musculus	19401	Rara	retinoic acid receptor, alpha	protein-coding
Mus musculus	19414	Rasa3	RAS p21 protein activator 3	protein-coding
Mus musculus	19415	Rasal1	RAS protein activator like 1 (GAP1 like)	protein-coding
Mus musculus	19416	Rasd1	RAS, dexamethasone-induced 1	protein-coding
Mus musculus	19417	Rasgrf1	RAS protein-specific guanine nucleotide-releasing factor 1	protein-coding
Mus musculus	19418	Rasgrf2	RAS protein-specific guanine nucleotide-releasing factor 2	protein-coding
Mus musculus	19419	Rasgrp1	RAS guanyl releasing protein 1	protein-coding
Mus musculus	19428	Rasl2-9	RAS-like, family 2, locus 9	protein-coding
Mus musculus	19650	Rbl1	retinoblastoma-like 1 (p107)	protein-coding
Mus musculus	19651	Rbl2	retinoblastoma-like 2	protein-coding
Mus musculus	19664	Rbpj	recombination signal binding protein for immunoglobulin kappa J region	protein-coding
Mus musculus	19668	Rbpjl	recombination signal binding protein for immunoglobulin kappa J region-like	protein-coding
Mus musculus	19671	Rce1	RCE1 homolog, prenyl protein peptidase (S. cerevisiae)	protein-coding
Mus musculus	19683	Rdh16	retinol dehydrogenase 16	protein-coding
Mus musculus	19684	Rdx	radixin	protein-coding
Mus musculus	19687	Rfc1	replication factor C (activator 1) 1	protein-coding
Mus musculus	19696	Rel	reticuloendotheliosis oncogene	protein-coding
Mus musculus	19698	Relb	avian reticuloendotheliosis viral (v-rel) oncogene related B	protein-coding
Mus musculus	19699	Reln	reelin	protein-coding
Mus musculus	19701	Ren1	renin 1 structural	protein-coding
Mus musculus	19702	Ren2	renin 2 tandem duplication of Ren1	protein-coding
Mus musculus	19704	Upf1	UPF1 regulator of nonsense transcripts homolog (yeast)	protein-coding
Mus musculus	19712	Rest	RE1-silencing transcription factor	protein-coding
Mus musculus	19714	Rev3l	REV3-like, catalytic subunit of DNA polymerase zeta RAD54 like (S. cerevisiae)	protein-coding
Mus musculus	19718	Rfc2	replication factor C (activator 1) 2	protein-coding
Mus musculus	19727	Rfxank	regulatory factor X-associated ankyrin-containing protein	protein-coding
Mus musculus	19730	Ralgds	ral guanine nucleotide dissociation stimulator	protein-coding
Mus musculus	19731	Rgl1	ral guanine nucleotide dissociation stimulator,-like 1	protein-coding
Mus musculus	19732	Rgl2	ral guanine nucleotide dissociation stimulator-like 2	protein-coding
Mus musculus	19735	Rgs2	regulator of G-protein signaling 2	protein-coding
Mus musculus	19739	Rgs9	regulator of G-protein signaling 9	protein-coding
Mus musculus	19765	Ralbp1	ralA binding protein 1	protein-coding
Mus musculus	19766	Ripk1	receptor (TNFRSF)-interacting serine-threonine kinase 1	protein-coding
Mus musculus	19819	Rnaseh1	ribonuclease H1	protein-coding
Mus musculus	19823	Rnf7	ring finger protein 7	protein-coding
Mus musculus	19826	Rnps1	ribonucleic acid binding protein S1	protein-coding
Mus musculus	19877	Rock1	Rho-associated coiled-coil containing protein kinase 1	protein-coding
Mus musculus	19879	Slc22a8	solute carrier family 22 (organic anion transporter), member 8	protein-coding
Mus musculus	19883	Rora	RAR-related orphan receptor alpha	protein-coding
Mus musculus	19885	Rorc	RAR-related orphan receptor gamma	protein-coding
Mus musculus	19891	Rpa2	replication protein A2	protein-coding
Mus musculus	19895	Rpia	ribose 5-phosphate isomerase A	protein-coding
Mus musculus	20014	Rpn2	ribophorin II	protein-coding
Mus musculus	20016	Polr1c	polymerase (RNA) I polypeptide C	protein-coding
Mus musculus	20018	Polr1d	polymerase (RNA) I polypeptide D	protein-coding
Mus musculus	20019	Polr1a	polymerase (RNA) I polypeptide A	protein-coding
Mus musculus	20020	Polr2a	polymerase (RNA) II (DNA directed) polypeptide A	protein-coding
Mus musculus	20021	Polr2c	polymerase (RNA) II (DNA directed) polypeptide C	protein-coding
Mus musculus	20022	Polr2j	polymerase (RNA) II (DNA directed) polypeptide J	protein-coding
Mus musculus	20104	Rps6	ribosomal protein S6	protein-coding
Mus musculus	20111	Rps6ka1	ribosomal protein S6 kinase polypeptide 1	protein-coding
Mus musculus	20112	Rps6ka2	ribosomal protein S6 kinase, polypeptide 2	protein-coding
Mus musculus	20130	Rras	Harvey rat sarcoma oncogene, subgroup R	protein-coding
Mus musculus	20135	Rrm2	ribonucleotide reductase M2	protein-coding
Mus musculus	20148	Dhrs3	dehydrogenase/reductase (SDR family) member 3	protein-coding
Mus musculus	20181	Rxra	retinoid X receptor alpha	protein-coding
Mus musculus	20182	Rxrb	retinoid X receptor beta	protein-coding
Mus musculus	20183	Rxrg	retinoid X receptor gamma	protein-coding
Mus musculus	20186	Nr1h4	nuclear receptor subfamily 1, group H, member 4	protein-coding
Mus musculus	20190	Ryr1	ryanodine receptor 1, skeletal muscle	protein-coding
Mus musculus	20191	Ryr2	ryanodine receptor 2, cardiac	protein-coding
Mus musculus	20192	Ryr3	ryanodine receptor 3	protein-coding
Mus musculus	20216	Acsm3	acyl-CoA synthetase medium-chain family member 3	protein-coding
Mus musculus	20220	Sap18	Sin3-associated polypeptide 18	protein-coding
Mus musculus	20224	Sar1a	SAR1 gene homolog A (S. cerevisiae)	protein-coding
Mus musculus	20229	Sat1	spermidine/spermine N1-acetyl transferase 1	protein-coding
Mus musculus	20248	Serpinb3a	serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 3A	protein-coding
Mus musculus	20249	Scd1	stearoyl-Coenzyme A desaturase 1	protein-coding
Mus musculus	20250	Scd2	stearoyl-Coenzyme A desaturase 2	protein-coding
Mus musculus	20259	Scin	scinderin	protein-coding
Mus musculus	20265	Scn1a	sodium channel, voltage-gated, type I, alpha	protein-coding
Mus musculus	20266	Scn1b	sodium channel, voltage-gated, type I, beta	protein-coding
Mus musculus	20271	Scn5a	sodium channel, voltage-gated, type V, alpha	protein-coding
Mus musculus	20272	Scn7a	sodium channel, voltage-gated, type VII, alpha	protein-coding
Mus musculus	20276	Scnn1a	sodium channel, nonvoltage-gated 1 alpha	protein-coding
Mus musculus	20277	Scnn1b	sodium channel, nonvoltage-gated 1 beta	protein-coding
Mus musculus	20278	Scnn1g	sodium channel, nonvoltage-gated 1 gamma	protein-coding
Mus musculus	20280	Scp2	sterol carrier protein 2, liver	protein-coding
Mus musculus	20290	Ccl1	chemokine (C-C motif) ligand 1	protein-coding
Mus musculus	20292	Ccl11	chemokine (C-C motif) ligand 11	protein-coding
